Armenia,222583.78,236878.24,264481.4,276611.74,266148.5,265285.83,267894.94,258805.5,256006.61,256636.43,254496.91,260540.96,263666.63,268448.88,267640.51,271114.58,274217.76,268282.5,268552.56,263543.1,259846.27,256226.45,250340.26,241071.6,238784.45,241826.94,239874.1,240959.62,241602.03,241929.05,222583.78,236878.24,264481.4,276611.74,266148.5,265285.83,267894.94,258805.5,256006.61,256636.43,254496.91,260540.96,263666.63,268448.88,267640.51,271114.58,274217.76,268282.5,268552.56,263543.1,259846.27,256226.45,250340.26,241071.6,238784.45,241826.94,239874.1,240959.62,241602.03,241929.05,4612.7,4490.62,4558.79,4476.7,4291.11,4164.52,4081.32,3928.53,3889.83,3766.27,3693.33,3535.68,3386.06,3266.2,3160.68,3091.45,3035.27,2940.34,2937.21,2884.71,2785.78,2679.53,2598.23,2569.34,2515.52,2462.27,2418.37,2394.44,2352.52,2303.77,34618.37,34830.31,35300.5,35594.07,35430.5,35343.47,35527.63,35612.12,35903.7,36036.11,36213.87,36552.39,36829.63,37130.04,37418.2,37865.79,38282.96,38448.67,38851.79,39020.55,39324.92,39511.82,39640.7,39654.46,39774.59,40158.57,40602.38,41081.45,41200.55,41209.31
Australia,944298.47,921845.74,916397.08,898501.13,897993.73,881345.97,874449.16,857969.81,840923.58,821989.09,807453.42,795964.5,790817.33,779013.56,753871.65,734263.19,724756.49,727870.72,726906.35,714676.07,706877.76,704837.9,694231.87,692489.83,703942.23,716982.79,717250.31,737396.01,765763.73,786856.17,944298.47,921845.74,916397.08,898501.13,897993.73,881345.97,874449.16,857969.81,840923.58,821989.09,807453.42,795964.5,790817.33,779013.56,753871.65,734263.19,724756.49,727870.72,726906.35,714676.07,706877.76,704837.9,694231.87,692489.83,703942.23,716982.79,717250.31,737396.01,765763.73,786856.17,13323.35,13235.23,13274.32,12742.85,12782.59,12855.85,13022.86,13178.26,13362.34,13487.43,13320.45,13241.09,13179.46,13242.1,13234.13,12428.94,12448.89,12547.53,12721.42,12846.62,12988.59,12974.68,13079.21,13013.25,12956.21,13243.53,13369.13,13526.51,13612.97,13696.27,219625.96,223992.9,229405.47,234085.95,239817.79,244981.15,251144.38,256431.66,261909.21,268240.14,274737.17,281533.03,289037.93,296214.99,301484.63,307806.99,314939.1,322917.15,330185.84,336311.19,343200.4,350623.31,357096.77,364230.81,372560.08,381407.31,388267.49,396053.78,405808.07,415085.86
Austria,653193.34,649344.58,642745.83,635470.35,624257.23,622361.84,619518.59,605633.05,594392.16,580354.43,560670.58,536561.28,523416.69,507336.25,485798.2,477757.13,464822.5,460618.37,454172.93,457742.24,455006.09,453286.23,454656.01,453745.65,452644.9,458089.25,452562.62,446723.41,449932.47,455197.61,653193.34,649344.58,642745.83,635470.35,624257.23,622361.84,619518.59,605633.05,594392.16,580354.43,560670.58,536561.28,523416.69,507336.25,485798.2,477757.13,464822.5,460618.37,454172.93,457742.24,455006.09,453286.23,454656.01,453745.65,452644.9,458089.25,452562.62,446723.41,449932.47,455197.61,5347.74,5261.52,5168.77,4959.59,4734.25,4575.1,4760.36,4384.8,4363.16,4325.64,4361.49,4455.76,4559.95,4616.22,4529.23,4548.29,4535.39,4461.55,4516.72,4531.73,4568.8,4502.53,4457.23,4481.3,4420.59,4493.64,4562.47,4501.62,4517.68,4548.22,125117.17,125629.31,126215.94,126999.11,127643.49,128817.81,129619.76,130244.71,131068.72,132019.33,133659.34,135200.66,137608.15,139264.29,140350.26,142359.77,143938.26,145899.76,147644.18,150040.04,152408.32,155019.74,158207.75,161107.26,164221.15,167576.95,169555.64,171275.73,172445.14,174314.29
Azerbaijan,526084.02,558923.44,607499.25,643200.58,672348.27,669080.03,665939.83,658976.6,662770.7,672695.23,682152.99,692909.95,714101.08,746067.64,766714.61,792790.54,802069.43,801685.4,817943.51,829086.66,838567.94,850966.82,860339.76,865439.81,874867.06,880737.71,895303.74,915499.31,910497.74,922594.24,526084.02,558923.44,607499.25,643200.58,672348.27,669080.03,665939.83,658976.6,662770.7,672695.23,682152.99,692909.95,714101.08,746067.64,766714.61,792790.54,802069.43,801685.4,817943.51,829086.66,838567.94,850966.82,860339.76,865439.81,874867.06,880737.71,895303.74,915499.31,910497.74,922594.24,68372.26,69927.67,70198.34,71279.36,73397.25,68309.52,68234.82,65549.16,64976.88,63271.8,61697.35,59498.91,57175.43,54699.51,51415.65,48732.71,45261.87,41751.65,40066.54,38832.05,37599.81,35708.78,34760.03,32799.67,31917.01,30858.85,30292.36,29300.82,28638.94,27681.95,84019.32,86348.13,90209.9,92419.96,94048.9,92670.43,92544.4,93289.56,94227.12,95476.28,96888.08,98088.47,99165.86,100638.13,102138.97,103848.67,104810.79,105846.97,107578.97,109355.04,111040.4,112585.77,113462.6,115067.06,116369.96,116950.34,117891.89,118717.01,119491.18,120522.62
Bahamas,11017.7,11136,11269.65,11564.23,11748.46,12031.67,12453.28,12555.59,12747.06,13199.05,12985.81,13490.63,13533.02,13703.15,14082.38,13989.28,14496.79,14570.67,15144.61,15862.15,16297.52,16622.06,16784.6,17087.96,17656.41,18328.48,18889.65,19416.2,19977.93,20496,11017.7,11136,11269.65,11564.23,11748.46,12031.67,12453.28,12555.59,12747.06,13199.05,12985.81,13490.63,13533.02,13703.15,14082.38,13989.28,14496.79,14570.67,15144.61,15862.15,16297.52,16622.06,16784.6,17087.96,17656.41,18328.48,18889.65,19416.2,19977.93,20496,752.71,772.77,796.18,809.67,787.78,777.13,754.69,721.04,656.5,628.95,599.08,571.39,553.29,561.16,551.39,532.48,529.08,520.08,515.46,517.99,520.32,514.99,506.12,491.55,494.18,496.84,497.25,498.44,495.5,492.75,2862.9,2926.57,2989.15,3064.4,3132.51,3198.17,3271.54,3336.19,3404.14,3472.65,3534.47,3593.64,3647,3745.7,3788.77,3832.87,3919.63,3987.14,4068.53,4157.78,4240.69,4313.94,4396.01,4464.36,4542.26,4613.37,4688.48,4764.06,4829.41,4902.32
Bahrain,21187.63,21593.06,21722.28,21679.3,21821.1,22081.6,22415.25,22692.95,22866.01,23380.44,22337.44,21305.23,22226.62,23350.47,23590.68,23540.24,23437.31,23564.41,23982.6,24592.62,25256.96,25901.03,26327.27,26651.47,27329.29,28695.61,30154.51,32135.98,34073.64,36349.55,21187.63,21593.06,21722.28,21679.3,21821.1,22081.6,22415.25,22692.95,22866.01,23380.44,22337.44,21305.23,22226.62,23350.47,23590.68,23540.24,23437.31,23564.41,23982.6,24592.62,25256.96,25901.03,26327.27,26651.47,27329.29,28695.61,30154.51,32135.98,34073.64,36349.55,1923.75,1914.48,1871.43,1842.77,1788.65,1711.53,1595.68,1469.68,1349.64,1097.02,1039.5,1020.18,991.18,1013.23,1060.95,1104.17,1118.4,1136.62,1094.75,1062.33,1045.98,1028.66,1020.09,985.57,981.42,980.43,970.92,972.92,960.96,945.58,5376.53,5571.14,5714.4,5842.06,5976.72,6111.5,6264.27,6448.28,6640.51,6809.55,6963.92,7221.77,7641.67,8243.07,8926.64,9606.03,10212.47,10862.53,11663.11,12499.74,13192.96,13663.34,14056.83,14427.99,14819.85,15118.76,15356.16,15612.45,15853.32,16094.44
Bangladesh,3758282.48,3513788.3,3568194.74,3579473.86,3605701.89,3739822.29,3759759.27,3777716.79,3842407.18,3952666.56,4198692.21,4338663.58,4554487.21,4784542.03,4999301.3,5330072.2,5655045.87,5849448.63,5945567.78,6108964.7,6285112.76,6165712.22,6150980.9,6247625.41,6433724.8,6598300.72,6760537.15,7094701.48,7289700.56,7471988.99,3758282.48,3513788.3,3568194.74,3579473.86,3605701.89,3739822.29,3759759.27,3777716.79,3842407.18,3952666.56,4198692.21,4338663.58,4554487.21,4784542.03,4999301.3,5330072.2,5655045.87,5849448.63,5945567.78,6108964.7,6285112.76,6165712.22,6150980.9,6247625.41,6433724.8,6598300.72,6760537.15,7094701.48,7289700.56,7471988.99,6487981.53,5860860.65,5113061.39,4530594.95,4060240.44,3723647.54,3430261.18,3191409.87,2973062.01,2805307.51,2660425.37,2518882.39,2326201.37,2183368.95,2061982.63,1981547.7,1833849.71,1230031.16,1121856.58,1039517.72,1018356.93,932193.07,969913.26,923759.42,881140.41,686937.69,666995.6,667327.96,651187.59,644792.14,940419.72,950981.19,973015.13,990449.96,1007799.65,1027011.93,1039474.13,1047480.18,1053078.25,1060422.15,1075641.13,1084708.8,1095544.56,1106872.11,1119812.45,1139993,1160599.34,1182286.71,1202854.76,1228572.51,1254118.61,1271352.64,1293987.12,1323475.67,1360137.04,1391917.19,1432444.14,1478391.83,1518529.51,1559290.05
Barbados,15182.75,14925.34,15125.55,15115.02,15129.84,14935.74,14711.02,14495.56,14026.72,13398.29,13228.91,12734.75,12945.85,13223.79,13092.68,12830.74,13017.73,13175.33,13174.44,13070.48,13198.08,13405.4,13525.76,13932.59,14337.61,14683.22,15035.6,15409.53,15880.05,16573.4,15182.75,14925.34,15125.55,15115.02,15129.84,14935.74,14711.02,14495.56,14026.72,13398.29,13228.91,12734.75,12945.85,13223.79,13092.68,12830.74,13017.73,13175.33,13174.44,13070.48,13198.08,13405.4,13525.76,13932.59,14337.61,14683.22,15035.6,15409.53,15880.05,16573.4,948.61,888.7,858.12,829.97,790.92,767.65,745.64,713.67,685.63,654.62,611.04,585.65,575.53,570.79,565.92,559.46,550.68,549.62,538.27,521.83,520.72,509.33,507.81,501.87,503.65,503.55,504.17,506.82,508.34,513.79,3631.07,3646.92,3687,3735.3,3766.26,3789.09,3829.23,3861.37,3895.23,3916.42,3943.58,3935.34,3991.87,4058.32,4084.45,4096.89,4131.13,4179.68,4218.83,4276.93,4343.26,4397.68,4461.56,4519.88,4574.7,4634.86,4700.17,4767.69,4843.91,4936.67
Belarus,1167100.25,1218776.97,1272943.79,1407493.73,1439230.58,1507111.85,1505347.03,1534487.7,1570591.66,1625961.98,1560015.8,1650588.21,1758743.15,1721277.92,1686025.18,1716095.4,1655302.29,1574096,1568548.74,1577057.28,1588870.59,1614497.3,1441352.37,1423143.42,1403001.38,1364335.37,1356600.61,1363344.85,1346106.22,1350737.9,1167100.25,1218776.97,1272943.79,1407493.73,1439230.58,1507111.85,1505347.03,1534487.7,1570591.66,1625961.98,1560015.8,1650588.21,1758743.15,1721277.92,1686025.18,1716095.4,1655302.29,1574096,1568548.74,1577057.28,1588870.59,1614497.3,1441352.37,1423143.42,1403001.38,1364335.37,1356600.61,1363344.85,1346106.22,1350737.9,21989.74,21413.68,20583.93,19970.14,19574.8,19167.99,18707.4,18563.5,18549.28,18355.65,17658.91,17548.42,17565.38,16488.36,16007.53,15821.02,15381.1,15025.84,14223.81,14211.56,14184.38,14138.75,13335.69,13219.29,13073.37,12533.86,12303.41,12075.28,11817.49,11525.75,138714.93,140599.83,141822.22,144288.43,144552.09,145187.15,144743.36,144480.71,144544.32,144646.85,143626.48,144815.61,146463.73,146524.86,146967.47,148053.09,148268.57,148020.1,148868.38,150024.12,150908.47,152066.35,150482.48,151259.47,151711.51,151694.17,152279.55,153015.33,153467.13,154024.8
Belgium,682660.29,664342.76,652727.55,643063.26,629626.21,622109.8,614145.4,602445.92,597187.41,589122.31,581630.11,569140.15,566150.56,558690.45,537992.9,527604.21,512638.14,508860.1,510852.12,496687.45,484875.91,478295.76,476233.82,470426.22,457043.1,461398.36,455257.23,463011.2,470437.24,479033.98,682660.29,664342.76,652727.55,643063.26,629626.21,622109.8,614145.4,602445.92,597187.41,589122.31,581630.11,569140.15,566150.56,558690.45,537992.9,527604.21,512638.14,508860.1,510852.12,496687.45,484875.91,478295.76,476233.82,470426.22,457043.1,461398.36,455257.23,463011.2,470437.24,479033.98,8489.29,8639.54,8686.9,8541.94,8557.47,8510.19,8535.15,8706.01,8826.42,9056.68,9185.38,9247.45,9240.72,9214.66,9009.41,9096.61,8829.34,8789.81,8707.31,8583.94,8584.93,8547.81,8584.45,8562.33,8397.33,8392.48,8344.31,8379.06,8381.7,8433.89,185059.14,187052.22,188601.62,190445.87,191543.71,192941.46,194601.11,197856.52,201146.32,204719.6,208569.42,210620.29,213071.73,215065.93,216128.33,218974.17,221768.5,225413.65,229789.79,231589.99,234395.84,237586.48,241111.67,243725.22,245256.44,248741.82,251036.31,253948.85,256196.76,258119.55
